 "z" , "annee" , "numberd" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "2005" , "16114200" ,
 "https://ex.org/nous/region/Guadeloupe" , "2004" , "325660" ,
 "https://ex.org/nous/region/Martinique" , "2012" , "233700" ,
 "https://ex.org/nous/region/Corse" , "2006" , "242176" ,
 "https://ex.org/nous/region/Bretagne" , "2015" , "34527600" ,
 "https://ex.org/nous/region/Bretagne" , "2003" , "30278028" ,
 "https://ex.org/nous/region/Mayotte" , "2014" , "4688" ,
 "https://ex.org/nous/region/Bretagne" , "2002" , "29347632" ,
 "https://ex.org/nous/region/Mayotte" , "2013" , "4364" ,
 "https://ex.org/nous/region/Mayotte" , "2001" , "252" ,
 "https://ex.org/nous/region/Martinique" , "2009" , "271830" ,
 "https://ex.org/nous/region/Normandie" , "2005" , "20355230" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "2006" , "618384278" ,
 "https://ex.org/nous/region/Guyane" , "2015" , "164220" ,
 "https://ex.org/nous/region/Guyane" , "2003" , "81942" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "2015" , "162182144" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "2003" , "137697094" ,
 "https://ex.org/nous/region/Guadeloupe" , "2015" , "375326" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "2006" , "15744622" ,
 "https://ex.org/nous/region/Guadeloupe" , "2003" , "316122" ,
 "https://ex.org/nous/region/Mayotte" , "2009" , "1064" ,
 "https://ex.org/nous/region/Martinique" , "2013" , "245400" ,
 "https://ex.org/nous/region/Corse" , "2005" , "235488" ,
 "https://ex.org/nous/region/Martinique" , "2001" , "245910" ,
 "https://ex.org/nous/region/Bretagne" , "2004" , "30348132" ,
 "https://ex.org/nous/region/Mayotte" , "2012" , "3868" ,
 "https://ex.org/nous/region/Martinique" , "2014" , "247290" ,
 "https://ex.org/nous/region/Normandie" , "2006" , "20072790" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "2005" , "626076322" ,
 "https://ex.org/nous/region/Guadeloupe" , "2002" , "279376" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "2002" , "132749884" ,
 "https://ex.org/nous/region/Guyane" , "2004" , "101892" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "2014" , "156773094" ,
 "https://ex.org/nous/region/Guyane" , "2012" , "138810" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "2011" , "652781740" ,
 "https://ex.org/nous/region/Guadeloupe" , "2014" , "363014" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "2007" , "15479904" ,
 "https://ex.org/nous/region/Normandie" , "2010" , "20536240" ,
 "https://ex.org/nous/region/Bretagne" , "2009" , "30287964" ,
 "https://ex.org/nous/region/Martinique" , "2002" , "249150" ,
 "https://ex.org/nous/region/Corse" , "2008" , "212564" ,
 "https://ex.org/nous/region/Mayotte" , "2004" , "604" ,
 "https://ex.org/nous/region/Bretagne" , "2012" , "31968528" ,
 "https://ex.org/nous/region/Martinique" , "2015" , "258030" ,
 "https://ex.org/nous/region/Martinique" , "2003" , "247350" ,
 "https://ex.org/nous/region/Corse" , "2011" , "221276" ,
 "https://ex.org/nous/region/Guyane" , "2009" , "116760" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "2008" , "614901914" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "2010" , "15550524" ,
 "https://ex.org/nous/region/Guadeloupe" , "2013" , "353438" ,
 "https://ex.org/nous/region/Normandie" , "2007" , "19691450" ,
 "https://ex.org/nous/region/Guadeloupe" , "2001" , "277020" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "2013" , "153088414" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "2001" , "131543076" ,
 "https://ex.org/nous/region/Guyane" , "2013" , "142296" ,
 "https://ex.org/nous/region/Guyane" , "2001" , "75096" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "2010" , "643874724" ,
 "https://ex.org/nous/region/Normandie" , "2011" , "20623640" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "2008" , "15612798" ,
 "https://ex.org/nous/region/Guadeloupe" , "2009" , "343406" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "2009" , "144996676" ,
 "https://ex.org/nous/region/Corse" , "2007" , "242968" ,
 "https://ex.org/nous/region/Mayotte" , "2015" , "6348" ,
 "https://ex.org/nous/region/Bretagne" , "2014" , "33324240" ,
 "https://ex.org/nous/region/Mayotte" , "2003" , "468" ,
 "https://ex.org/nous/region/Bretagne" , "2013" , "32636172" ,
 "https://ex.org/nous/region/Mayotte" , "2002" , "404" ,
 "https://ex.org/nous/region/Bretagne" , "2001" , "28717248" ,
 "https://ex.org/nous/region/Martinique" , "2004" , "247590" ,
 "https://ex.org/nous/region/Corse" , "2010" , "226776" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "2007" , "611654000" ,
 "https://ex.org/nous/region/Normandie" , "2008" , "19764820" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "2011" , "15891854" ,
 "https://ex.org/nous/region/Guadeloupe" , "2012" , "341924" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "2012" , "150395184" ,
 "https://ex.org/nous/region/Guyane" , "2014" , "145404" ,
